#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,357:326
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,325:294
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,293:262
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,261:230
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,229:198
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,197:166
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,165:134
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,133:102
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,101:70
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,69:38
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,37:6
frame11,11,6,1111_1100_0000_0000_0000_0000_0000_0000,5:0
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
