#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,413:382
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,381:350
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,349:318
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,317:286
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,285:254
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,253:222
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,221:190
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,189:158
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,157:126
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,125:94
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,93:62
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,61:30
frame12,12,30,1111_1111_1111_1111_1111_1111_1111_1100,29:0
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
